Precinct - Full,Precinct Short,Orphan?,Walkable?,Area,Avg Age,% Male,% Female,Registered Voters,Voted,Voted %,Col J Orphan,Col J Non-Orphan,Col J Non-Walkable,Col J Walkable,Target 92+ #,Target 92+ Voted #,Target 92+ Voted %,Col Q Orphan,Col Q Non-Orphan,Col Q Non-Walkable,Col Q Walkable,Target 75+ #,Target 75+ Voted #,Target 75+ Voted %,Non-Target #,Non-Target Voted #,Non-Target Voted %,Target 92+ - Non-Target %,Target 75+ - Non-Target %,Dem #,Dem Voted #,Dem Voted %,Rep #,Rep Voted #,Rep Voted %,Green #,Green Voted #,Green Voted %,Lib #,Lib Voted #,Lib Voted %,Unaf #,Unaf Voted #,Unaf Voted %,Unaf 92+ #,Unaf 92+ Voted #,Unaf 92+ Voted %,Unaf 75+ #,Unaf 75+ Voted #,Unaf 75+ Voted %,Unaf 0-75 #,Unaf 0-75 Voted #,Unaf 0-75 Voted %
2151107703,703,0,0,LM-07,54.26455026,52.91%,47.09%,189,168,88.89%,#N/A,88.89%,88.89%,#N/A,80,76,95.00%,#N/A,95.00%,95.00%,#N/A,106,100,94.34%,83,68,81.93%,13.07%,12.41%,67,63,94.03%,37,33,89.19%,0,0,NULL,0,0,NULL,85,72,84.71%,13,13,100.00%,39,37,94.87%,46,35,76.09%
2151207700,700,0,0,MT-03,55.19307692,49.85%,49.69%,1300,1162,89.38%,#N/A,89.38%,89.38%,#N/A,651,605,92.93%,#N/A,92.93%,92.93%,#N/A,825,754,91.39%,475,408,85.89%,7.04%,5.50%,493,456,92.49%,200,189,94.50%,4,3,75.00%,6,3,50.00%,597,511,85.59%,154,146,94.81%,328,295,89.94%,269,216,80.30%
2151907002,002,1,1,LM-04,50,50.00%,50.00%,2,2,100.00%,100.00%,#N/A,#N/A,100.00%,2,2,100.00%,100.00%,#N/A,#N/A,100.00%,2,2,100.00%,0,0,NULL,NULL,NULL,2,2,100.00%,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
2154907701,701,0,0,MT-03,54.4957529,48.34%,51.51%,1295,1149,88.73%,#N/A,88.73%,88.73%,#N/A,574,533,92.86%,#N/A,92.86%,92.86%,#N/A,759,692,91.17%,536,457,85.26%,7.60%,5.91%,458,423,92.36%,221,198,89.59%,2,2,100.00%,8,6,75.00%,606,520,85.81%,114,108,94.74%,299,267,89.30%,307,253,82.41%
2154907702,702,1,0,MT-03,55.72470238,49.85%,50.15%,672,587,87.35%,87.35%,#N/A,87.35%,#N/A,250,231,92.40%,92.40%,#N/A,92.40%,#N/A,321,298,92.83%,351,289,82.34%,10.06%,10.50%,210,191,90.95%,142,128,90.14%,1,1,100.00%,3,2,66.67%,316,265,83.86%,39,39,100.00%,110,106,96.36%,206,159,77.18%
2154907704,704,0,0,LM-07,55.26686657,48.13%,51.72%,667,587,88.01%,#N/A,88.01%,88.01%,#N/A,181,159,87.85%,#N/A,87.85%,87.85%,#N/A,250,221,88.40%,417,366,87.77%,0.08%,0.63%,151,130,86.09%,190,173,91.05%,1,1,100.00%,9,6,66.67%,316,277,87.66%,29,28,96.55%,98,90,91.84%,218,187,85.78%
2154907705,705,0,0,LM-07,54.16017316,49.21%,50.65%,693,580,83.69%,#N/A,83.69%,83.69%,#N/A,150,125,83.33%,#N/A,83.33%,83.33%,#N/A,223,193,86.55%,470,387,82.34%,0.99%,4.21%,134,110,82.09%,193,174,90.16%,1,1,100.00%,5,5,100.00%,360,290,80.56%,15,14,93.33%,88,82,93.18%,272,208,76.47%
2154907900,900,0,0,BO-01,52.98594378,52.61%,47.19%,498,433,86.95%,#N/A,86.95%,86.95%,#N/A,353,319,90.37%,#N/A,90.37%,90.37%,#N/A,433,380,87.76%,65,53,81.54%,8.83%,6.22%,278,249,89.57%,27,24,88.89%,2,2,100.00%,3,3,100.00%,188,155,82.45%,73,68,93.15%,153,129,84.31%,35,26,74.29%
2154907901,901,0,0,MT-01,51.5984556,52.90%,46.81%,1036,882,85.14%,#N/A,85.14%,85.14%,#N/A,455,414,90.99%,#N/A,90.99%,90.99%,#N/A,618,552,89.32%,418,330,78.95%,12.04%,10.37%,332,300,90.36%,136,125,91.91%,5,4,80.00%,14,10,71.43%,549,443,80.69%,118,110,93.22%,281,248,88.26%,268,195,72.76%
2154907902,902,0,0,MT-01,55.15210356,54.37%,45.63%,309,268,86.73%,#N/A,86.73%,86.73%,#N/A,174,161,92.53%,#N/A,92.53%,92.53%,#N/A,221,198,89.59%,88,70,79.55%,12.98%,10.05%,137,129,94.16%,23,23,100.00%,3,2,66.67%,5,3,60.00%,141,111,78.72%,34,30,88.24%,81,67,82.72%,60,44,73.33%
