Precinct_District,Precinct,Area_oldStyle,Area_ODB,area_short,area_long
2151207004,004,HDBOAC01,ACBO-01,BO-01,Boulder-01
2184907854,854,HDBOAC01,ACBO-01,BO-01,Boulder-01
2184907855,855,HDBOAC01,ACBO-01,BO-01,Boulder-01
2184907856,856,HDBOAC01,ACBO-01,BO-01,Boulder-01
2184907857,857,HDBOAC01,ACBO-01,BO-01,Boulder-01
2154907900,900,HDBOAC01,ACBO-01,BO-01,Boulder-01
2154907906,906,HDBOAC01,ACBO-01,BO-01,Boulder-01
2181007830,830,HDBOAC02,ACBO-02,BO-02,Boulder-02
2184907844,844,HDBOAC02,ACBO-02,BO-02,Boulder-02
2184907845,845,HDBOAC02,ACBO-02,BO-02,Boulder-02
2184907852,852,HDBOAC02,ACBO-02,BO-02,Boulder-02
2184907853,853,HDBOAC02,ACBO-02,BO-02,Boulder-02
2181007829,829,HDBOAC05,ACBO-05,BO-05,Boulder-05
2181007831,831,HDBOAC05,ACBO-05,BO-05,Boulder-05
2181007832,832,HDBOAC05,ACBO-05,BO-05,Boulder-05
2181007833,833,HDBOAC05,ACBO-05,BO-05,Boulder-05
2184907814,814,HDBOAC06,ACBO-06,BO-06,Boulder-06
2184907815,815,HDBOAC06,ACBO-06,BO-06,Boulder-06
2184907827,827,HDBOAC06,ACBO-06,BO-06,Boulder-06
2184907828,828,HDBOAC06,ACBO-06,BO-06,Boulder-06
2181007810,810,HDBOAC08,ACBO-08,BO-08,Boulder-08
2181007817,817,HDBOAC08,ACBO-08,BO-08,Boulder-08
2181007818,818,HDBOAC08,ACBO-08,BO-08,Boulder-08
2181007820,820,HDBOAC08,ACBO-08,BO-08,Boulder-08
2181007821,821,HDBOAC08,ACBO-08,BO-08,Boulder-08
2181007811,811,HDBOAC09,ACBO-09,BO-09,Boulder-09
2181007812,812,HDBOAC09,ACBO-09,BO-09,Boulder-09
2181007813,813,HDBOAC09,ACBO-09,BO-09,Boulder-09
2181007816,816,HDBOAC09,ACBO-09,BO-09,Boulder-09
2181007842,842,HDBOAC03,ACBO-03,BO-03,Boulder-03
2181007843,843,HDBOAC03,ACBO-03,BO-03,Boulder-03
2181007846,846,HDBOAC03,ACBO-03,BO-03,Boulder-03
2181007847,847,HDBOAC03,ACBO-03,BO-03,Boulder-03
2181007850,850,HDBOAC03,ACBO-03,BO-03,Boulder-03
2181007851,851,HDBOAC03,ACBO-03,BO-03,Boulder-03
2181007834,834,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007835,835,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007836,836,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007837,837,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007838,838,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007839,839,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007840,840,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007841,841,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007848,848,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007849,849,HDBOAC04,ACBO-04,BO-04,Boulder-04
2181007822,822,HDBOAC07,ACBO-07,BO-07,Boulder-07
2181007823,823,HDBOAC07,ACBO-07,BO-07,Boulder-07
2181007824,824,HDBOAC07,ACBO-07,BO-07,Boulder-07
2181007825,825,HDBOAC07,ACBO-07,BO-07,Boulder-07
2181007826,826,HDBOAC07,ACBO-07,BO-07,Boulder-07
2181007803,803,HDBOAC10,ACBO-10,BO-10,Boulder-10
2184907804,804,HDBOAC10,ACBO-10,BO-10,Boulder-10
2184907805,805,HDBOAC10,ACBO-10,BO-10,Boulder-10
2181007806,806,HDBOAC10,ACBO-10,BO-10,Boulder-10
2181007807,807,HDBOAC10,ACBO-10,BO-10,Boulder-10
2181007808,808,HDBOAC10,ACBO-10,BO-10,Boulder-10
2181207503,503,HDBOAC11,ACBO-11,BO-11,Boulder-11
2181207504,504,HDBOAC11,ACBO-11,BO-11,Boulder-11
2181207505,505,HDBOAC11,ACBO-11,BO-11,Boulder-11
2181007802,802,HDBOAC11,ACBO-11,BO-11,Boulder-11
2181007809,809,HDBOAC11,ACBO-11,BO-11,Boulder-11
2181007819,819,HDBOAC11,ACBO-11,BO-11,Boulder-11
2171907400,400,HDERAC01,ACER-01,ER-01,Erie-01
2171907401,401,HDERAC01,ACER-01,ER-01,Erie-01
2171907402,402,HDERAC01,ACER-01,ER-01,Erie-01
2171907403,403,HDERAC01,ACER-01,ER-01,Erie-01
2171907404,404,HDERAC01,ACER-01,ER-01,Erie-01
2171907405,405,HDERAC01,ACER-01,ER-01,Erie-01
2171907406,406,HDERAC01,ACER-01,ER-01,Erie-01
2171907407,407,HDERAC01,ACER-01,ER-01,Erie-01
2171907408,408,HDERAC01,ACER-01,ER-01,Erie-01
2181207506,506,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2181207507,507,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2181207508,508,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2181207509,509,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2181207510,510,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2181007800,800,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2181007801,801,HDGNAC01,ACGN-01,GN-01,Gunbarrel-Niwot-01
2171207300,300,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207301,301,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207302,302,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207303,303,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207304,304,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207305,305,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207306,306,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207307,307,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207308,308,HDLFAC01,ACLF-01,LF-01,Lafayette-01
2171207309,309,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207310,310,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207311,311,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207312,312,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207313,313,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207314,314,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207315,315,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171207316,316,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2181207500,500,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2181207501,501,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2181207502,502,HDLFAC02,ACLF-02,LF-02,Lafayette-02
2171107617,617,HDLMAC07,ACLM-07,LM-07,Longmont-07
2171107600,600,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107601,601,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107602,602,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107603,603,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107604,604,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107612,612,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107613,613,HDLMAC01,ACLM-01,LM-01,Longmont-01
2171107605,605,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107606,606,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107607,607,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107608,608,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107609,609,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107610,610,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107611,611,HDLMAC02,ACLM-02,LM-02,Longmont-02
2171107614,614,HDLMAC03,ACLM-03,LM-03,Longmont-03
2171107615,615,HDLMAC03,ACLM-03,LM-03,Longmont-03
2171107616,616,HDLMAC03,ACLM-03,LM-03,Longmont-03
2171107624,624,HDLMAC03,ACLM-03,LM-03,Longmont-03
2171107625,625,HDLMAC03,ACLM-03,LM-03,Longmont-03
2171107630,630,HDLMAC03,ACLM-03,LM-03,Longmont-03
2171107631,631,HDLMAC03,ACLM-03,LM-03,Longmont-03
2151907002,002,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171107618,618,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171907619,619,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171907620,620,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171907621,621,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171107622,622,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171907635,635,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171907636,636,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171907637,637,HDLMAC04,ACLM-04,LM-04,Longmont-04
2171107623,623,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107633,633,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107634,634,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107638,638,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107639,639,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107640,640,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107650,650,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107651,651,HDLMAC05,ACLM-05,LM-05,Longmont-05
2171107626,626,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107627,627,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107628,628,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107629,629,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107643,643,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107644,644,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107645,645,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107646,646,HDLMAC06,ACLM-06,LM-06,Longmont-06
2171107632,632,HDLMAC07,ACLM-07,LM-07,Longmont-07
2171107641,641,HDLMAC07,ACLM-07,LM-07,Longmont-07
2171107642,642,HDLMAC07,ACLM-07,LM-07,Longmont-07
2171107647,647,HDLMAC07,ACLM-07,LM-07,Longmont-07
2171107648,648,HDLMAC07,ACLM-07,LM-07,Longmont-07
2171107649,649,HDLMAC07,ACLM-07,LM-07,Longmont-07
