Precinct,Precinct_District,area_short,area_long
004,2151207004,BO-01,Boulder-01
854,2184907854,BO-01,Boulder-01
855,2184907855,BO-01,Boulder-01
856,2184907856,BO-01,Boulder-01
857,2184907857,BO-01,Boulder-01
900,2154907900,BO-01,Boulder-01
906,2154907906,BO-01,Boulder-01
830,2181007830,BO-02,Boulder-02
844,2184907844,BO-02,Boulder-02
845,2184907845,BO-02,Boulder-02
852,2184907852,BO-02,Boulder-02
853,2184907853,BO-02,Boulder-02
829,2181007829,BO-05,Boulder-05
831,2181007831,BO-05,Boulder-05
832,2181007832,BO-05,Boulder-05
833,2181007833,BO-05,Boulder-05
814,2184907814,BO-06,Boulder-06
815,2184907815,BO-06,Boulder-06
827,2184907827,BO-06,Boulder-06
828,2184907828,BO-06,Boulder-06
810,2181007810,BO-08,Boulder-08
817,2181007817,BO-08,Boulder-08
818,2181007818,BO-08,Boulder-08
820,2181007820,BO-08,Boulder-08
821,2181007821,BO-08,Boulder-08
811,2181007811,BO-09,Boulder-09
812,2181007812,BO-09,Boulder-09
813,2181007813,BO-09,Boulder-09
816,2181007816,BO-09,Boulder-09
842,2181007842,BO-03,Boulder-03
843,2181007843,BO-03,Boulder-03
846,2181007846,BO-03,Boulder-03
847,2181007847,BO-03,Boulder-03
850,2181007850,BO-03,Boulder-03
851,2181007851,BO-03,Boulder-03
834,2181007834,BO-04,Boulder-04
835,2181007835,BO-04,Boulder-04
836,2181007836,BO-04,Boulder-04
837,2181007837,BO-04,Boulder-04
838,2181007838,BO-04,Boulder-04
839,2181007839,BO-04,Boulder-04
840,2181007840,BO-04,Boulder-04
841,2181007841,BO-04,Boulder-04
848,2181007848,BO-04,Boulder-04
849,2181007849,BO-04,Boulder-04
822,2181007822,BO-07,Boulder-07
823,2181007823,BO-07,Boulder-07
824,2181007824,BO-07,Boulder-07
825,2181007825,BO-07,Boulder-07
826,2181007826,BO-07,Boulder-07
803,2181007803,BO-10,Boulder-10
804,2184907804,BO-10,Boulder-10
805,2184907805,BO-10,Boulder-10
806,2181007806,BO-10,Boulder-10
807,2181007807,BO-10,Boulder-10
808,2181007808,BO-10,Boulder-10
503,2181207503,BO-11,Boulder-11
504,2181207504,BO-11,Boulder-11
505,2181207505,BO-11,Boulder-11
802,2181007802,BO-11,Boulder-11
809,2181007809,BO-11,Boulder-11
819,2181007819,BO-11,Boulder-11
400,2171907400,ER-01,Erie-01
401,2171907401,ER-01,Erie-01
402,2171907402,ER-01,Erie-01
403,2171907403,ER-01,Erie-01
404,2171907404,ER-01,Erie-01
405,2171907405,ER-01,Erie-01
406,2171907406,ER-01,Erie-01
407,2171907407,ER-01,Erie-01
408,2171907408,ER-01,Erie-01
506,2181207506,GN-01,Gunbarrel-Niwot-01
507,2181207507,GN-01,Gunbarrel-Niwot-01
508,2181207508,GN-01,Gunbarrel-Niwot-01
509,2181207509,GN-01,Gunbarrel-Niwot-01
510,2181207510,GN-01,Gunbarrel-Niwot-01
800,2181007800,GN-01,Gunbarrel-Niwot-01
801,2181007801,GN-01,Gunbarrel-Niwot-01
300,2171207300,LF-01,Lafayette-01
301,2171207301,LF-01,Lafayette-01
302,2171207302,LF-01,Lafayette-01
303,2171207303,LF-01,Lafayette-01
304,2171207304,LF-01,Lafayette-01
305,2171207305,LF-01,Lafayette-01
306,2171207306,LF-01,Lafayette-01
307,2171207307,LF-01,Lafayette-01
308,2171207308,LF-01,Lafayette-01
309,2171207309,LF-02,Lafayette-02
310,2171207310,LF-02,Lafayette-02
311,2171207311,LF-02,Lafayette-02
312,2171207312,LF-02,Lafayette-02
313,2171207313,LF-02,Lafayette-02
314,2171207314,LF-02,Lafayette-02
315,2171207315,LF-02,Lafayette-02
316,2171207316,LF-02,Lafayette-02
500,2181207500,LF-02,Lafayette-02
501,2181207501,LF-02,Lafayette-02
502,2181207502,LF-02,Lafayette-02
617,2171107617,LM-07,Longmont-07
600,2171107600,LM-01,Longmont-01
601,2171107601,LM-01,Longmont-01
602,2171107602,LM-01,Longmont-01
603,2171107603,LM-01,Longmont-01
604,2171107604,LM-01,Longmont-01
612,2171107612,LM-01,Longmont-01
613,2171107613,LM-01,Longmont-01
605,2171107605,LM-02,Longmont-02
606,2171107606,LM-02,Longmont-02
607,2171107607,LM-02,Longmont-02
608,2171107608,LM-02,Longmont-02
609,2171107609,LM-02,Longmont-02
610,2171107610,LM-02,Longmont-02
611,2171107611,LM-02,Longmont-02
614,2171107614,LM-03,Longmont-03
615,2171107615,LM-03,Longmont-03
616,2171107616,LM-03,Longmont-03
624,2171107624,LM-03,Longmont-03
625,2171107625,LM-03,Longmont-03
630,2171107630,LM-03,Longmont-03
631,2171107631,LM-03,Longmont-03
002,2151907002,LM-04,Longmont-04
618,2171107618,LM-04,Longmont-04
619,2171907619,LM-04,Longmont-04
620,2171907620,LM-04,Longmont-04
621,2171907621,LM-04,Longmont-04
622,2171107622,LM-04,Longmont-04
635,2171907635,LM-04,Longmont-04
636,2171907636,LM-04,Longmont-04
637,2171907637,LM-04,Longmont-04
623,2171107623,LM-05,Longmont-05
633,2171107633,LM-05,Longmont-05
634,2171107634,LM-05,Longmont-05
638,2171107638,LM-05,Longmont-05
639,2171107639,LM-05,Longmont-05
640,2171107640,LM-05,Longmont-05
650,2171107650,LM-05,Longmont-05
651,2171107651,LM-05,Longmont-05
626,2171107626,LM-06,Longmont-06
627,2171107627,LM-06,Longmont-06
628,2171107628,LM-06,Longmont-06
629,2171107629,LM-06,Longmont-06
643,2171107643,LM-06,Longmont-06
644,2171107644,LM-06,Longmont-06
645,2171107645,LM-06,Longmont-06
646,2171107646,LM-06,Longmont-06
632,2171107632,LM-07,Longmont-07
641,2171107641,LM-07,Longmont-07
642,2171107642,LM-07,Longmont-07
647,2171107647,LM-07,Longmont-07
648,2171107648,LM-07,Longmont-07
649,2171107649,LM-07,Longmont-07
703,2151107703,LM-07,Longmont-07
704,2154907704,LM-07,Longmont-07
705,2154907705,LM-07,Longmont-07
200,2181207200,LV-01,Louisville-01
201,2181207201,LV-01,Louisville-01
202,2181207202,LV-01,Louisville-01
203,2181207203,LV-01,Louisville-01
204,2181207204,LV-01,Louisville-01
206,2181207206,LV-01,Louisville-01
207,2181207207,LV-01,Louisville-01
205,2181207205,LV-02,Louisville-02
208,2181207208,LV-02,Louisville-02
209,2181207209,LV-02,Louisville-02
210,2181207210,LV-02,Louisville-02
211,2181207211,LV-02,Louisville-02
212,2181207212,LV-02,Louisville-02
901,2154907901,MT-01,Mountains-01
902,2154907902,MT-01,Mountains-01
903,2154907903,MT-01,Mountains-01
904,2154907904,MT-01,Mountains-01
905,2154907905,MT-01,Mountains-01
907,2154907907,MT-01,Mountains-01
908,2154907908,MT-02,Mountains-02
909,2154907909,MT-02,Mountains-02
910,2154907910,MT-02,Mountains-02
911,2154907911,MT-02,Mountains-02
912,2154907912,MT-02,Mountains-02
913,2154907913,MT-02,Mountains-02
700,2151207700,MT-03,Mountains-03
701,2154907701,MT-03,Mountains-03
702,2154907702,MT-03,Mountains-03
914,2154907914,MT-03,Mountains-03
915,2154907915,MT-03,Mountains-03
916,2154907916,MT-03,Mountains-03
003,2184907003,SU-01,Superior-01
100,2181207100,SU-01,Superior-01
101,2181207101,SU-01,Superior-01
102,2181207102,SU-01,Superior-01
103,2181207103,SU-01,Superior-01
104,2181207104,SU-01,Superior-01
105,2181207105,SU-01,Superior-01
106,2181207106,SU-01,Superior-01
